Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Gymnastics,Team all-around,Team,Female,UnitedStates,Laurie Hernandez,Russia,Maria Paseka,China,Shang Chunsong
Gymnastics,Team all-around,Team,Female,UnitedStates,Madison Kocian,Russia,Daria Spiridonova,China,Tan Jiaxin
Gymnastics,Team all-around,Team,Female,UnitedStates,Aly Raisman,Russia,Seda Tutkhalyan,China,Wang Yan
Gymnastics,Individual all-around,Individual,Female,UnitedStates,Simone Biles,UnitedStates,Aly Raisman,Russia,Aliya Mustafina
Gymnastics,Vault,Individual,Female,UnitedStates,Simone Biles,Russia,Maria Paseka,Switzerland,Giulia Steingruber
Gymnastics,Uneven bars,Individual,Female,Russia,Aliya Mustafina,UnitedStates,Madison Kocian,Germany,Sophie Scheder
Gymnastics,Balance beam,Individual,Female,Netherlands,Sanne Wevers,UnitedStates,Laurie Hernandez,UnitedStates,Simone Biles
Gymnastics,Floor exercise,Individual,Female,UnitedStates,Simone Biles,UnitedStates,Aly Raisman,GreatBritain,Amy Tinkler
Gymnastics,Rhythmic gymnastics - Individual all-around,Individual,Check,Russia,Margarita Mamun,Russia,Yana Kudryavtseva,Ukraine,Ganna Rizatdinova
Gymnastics,Rhythmic gymnastics - Group all-around,Team,Check,Russia,Vera Biryukova,Spain,Sandra Aguilar,Bulgaria,Reneta Kamberova
Gymnastics,Rhythmic gymnastics - Group all-around,Team,Check,Russia,Anastasia Bliznyuk,Spain,Artemi Gavezou,Bulgaria,Lyubomira Kazanova
Gymnastics,Rhythmic gymnastics - Group all-around,Team,Check,Russia,Anastasia Maksimova,Spain,Elena López,Bulgaria,Mihaela Maevska-Velichkova
Gymnastics,Rhythmic gymnastics - Group all-around,Team,Check,Russia,Anastasiia Tatareva,Spain,Lourdes Mohedano,Bulgaria,Tsvetelina Naydenova
Gymnastics,Rhythmic gymnastics - Group all-around,Team,Check,Russia,Maria Tolkacheva,Spain,Alejandra Quereda,Bulgaria,Hristiana Todorova
Gymnastics,Trampoline,Individual,Male,Belarus,Uladzislau Hancharou,China,Dong Dong,China,Gao Lei
Gymnastics,Trampoline,Individual,Female,Canada,Rosie MacLennan,GreatBritain,Bryony Page,China,Li Dan
Handball,Handball,Team,Male,Denmark,Niklas Landin Jacobsen,France,Olivier Nyokas,Germany,Uwe Gensheimer
Handball,Handball,Team,Male,Denmark,Mads Christiansen,France,Daniel Narcisse,Germany,Finn Lemke
Handball,Handball,Team,Male,Denmark,Mads Mensah Larsen,France,Vincent Gérard,Germany,Patrick Wiencek
Handball,Handball,Team,Male,Denmark,Casper Ulrich Mortensen,France,Nikola Karabatic,Germany,Tobias Reichmann
Handball,Handball,Team,Male,Denmark,Jesper Noddesbo,France,Kentin Mahé,Germany,Fabian Wiede
Handball,Handball,Team,Male,Denmark,Jannick Green,France,Mathieu Grébille,Germany,Silvio Heinevetter
Handball,Handball,Team,Male,Denmark,Lasse Svan Hansen,France,Thierry Omeyer,Germany,Hendrik Pekeler
Handball,Handball,Team,Male,Denmark,Rene Toft Hansen,France,Timothey N'Guessan,Germany,Steffen Weinhold
Handball,Handball,Team,Male,Denmark,Henrik Mollgaard,France,Luc Abalo,Germany,Martin Strobel
Handball,Handball,Team,Male,Denmark,Kasper Sondergaard,France,Cedric Sorhaindo,Germany,Patrick Groetzki
Handball,Handball,Team,Male,Denmark,Henrik Toft Hansen,France,Michael Guigou,Germany,Kai Häfner
Handball,Handball,Team,Male,Denmark,Mikkel Hansen,France,Luka Karabatic,Germany,Andreas Wolff
Handball,Handball,Team,Male,Denmark,Morten Olsen,France,Ludovic Fabregas,Germany,Julius Kühn
Handball,Handball,Team,Male,Denmark,Michael Damgaard,France,Adrien Dipanda,Germany,Christian Dissinger
Handball,Handball,Team,Male,NoMedal,NoMedal,NoMedal,Valentin Porte,Germany,Paul Drux
Handball,Handball,Team,Female,Russia,Anna Sedoykina,France,Laura Glauser,Norway,Kari Aalvik Grimsbø
Handball,Handball,Team,Female,Russia,Polina Kuznetsova,France,Blandine Dancette,Norway,Mari Molid
Handball,Handball,Team,Female,Russia,Daria Dmitrieva,France,Camille Ayglon,Norway,Emilie Hegh Arntzen
Handball,Handball,Team,Female,Russia,Anna Sen,France,Allison Pineau,Norway,Ida Alstad
Handball,Handball,Team,Female,Russia,Olga Akopyan,France,Laurisa Landre,Norway,Veronica Kristiansen
Handball,Handball,Team,Female,Russia,Anna Vyakhireva,France,Grace Zaadi,Norway,Heidi Løke
Handball,Handball,Team,Female,Russia,Marina Sudakova,France,Marie Prouvensier,Norway,Nora Mørk
Handball,Handball,Team,Female,Russia,Vladlena Bobrovnikova,France,Amandine Leynaud,Norway,Stine Bredal Oftedal
Handball,Handball,Team,Female,Russia,Victoria Zhilinskayte,France,Manon Houette,Norway,Marit Malm Frafjord
Handball,Handball,Team,Female,Russia,Yekaterina Marennikova,France,Siraba Dembélé,Norway,Katrine Lunde
Handball,Handball,Team,Female,Russia,Irina Bliznova,France,Chloé Bulleux,Norway,Linn-Kristin Riegelhuth Koren
Handball,Handball,Team,Female,Russia,Ekaterina Ilina,France,Béatrice Edwige,Norway,Amanda Kurtovi?
Handball,Handball,Team,Female,Russia,Maya Petrova,France,Estelle Nze Minko,Norway,Camilla Herrem
Handball,Handball,Team,Female,Russia,Tatyana Yerokhina,France,Gnonsiane Niombla,Norway,Sanna Solberg
Handball,Handball,Team,Female,Russia,Victoriya Kalinina,France,Alexandra Lacrabère,NoMedal,NoMedal
Judo,Extra-lightweight (60 kg),Individual,Male,Russia,Beslan Mudranov,Kazakhstan,Yeldos Smetov,Japan,Naohisa Takato
Judo,Extra-lightweight (60 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Uzbekistan,Diyorbek Urozboev
Judo,Half-lightweight (66 kg),Individual,Male,Italy,Fabio Basile,SouthKorea,An Ba-ul,Uzbekistan,Rishod Sobirov
Judo,Half-lightweight (66 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Japan,Masashi Ebinuma
Judo,Lightweight (73 kg),Individual,Male,Japan,Shohei Ono,Azerbaijan,Rustam Orujov,Georgia,Lasha Shavdatuashvili
Judo,Lightweight (73 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Belgium,Dirk Van Tichelt
Judo,Half-middleweight (81 kg),Individual,Male,Russia,Khasan Khalmurzaev,UnitedStates,Travis Stevens,UnitedArabEmirates,Sergiu Toma
Judo,Half-middleweight (81 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Japan,Takanori Nagase
Judo,Middleweight (90 kg),Individual,Male,Japan,Mashu Baker,Georgia,Varlam Liparteliani,SouthKorea,Gwak Dong-han
Judo,Middleweight (90 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,China,Cheng Xunzhao
Judo,Half-heavyweight (100 kg),Individual,Male,CzechRepublic,Lukáš Krpálek,Azerbaijan,Elmar Gasimov,France,Cyrille Maret
Judo,Half-heavyweight (100 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Japan,Ryunosuke Haga
Judo,Heavyweight (+100 kg),Individual,Male,France,Teddy Riner,Japan,Hisayoshi Harasawa,Brazil,Rafael Silva
Judo,Heavyweight (+100 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Israel,Or Sasson
Judo,Extra-lightweight (48 kg),Individual,Female,Argentina,Paula Pareto,SouthKorea,Jeong Bo-kyeong,Japan,Ami Kondo
Judo,Extra-lightweight (48 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Kazakhstan,Galbadrakhyn Otgontsetseg
Judo,Half-lightweight (52 kg),Individual,Female,Kosovo,Majlinda Kelmendi,Italy,Odette Giuffrida,Japan,Misato Nakamura
Judo,Half-lightweight (52 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Russia,Natalia Kuziutina
Judo,Lightweight (57 kg),Individual,Female,Brazil,Rafaela Silva,Mongolia,Dorjsürengiin Sumiyaa,Portugal,Telma Monteiro
Judo,Lightweight (57 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Japan,Kaori Matsumoto
Judo,Half-middleweight (63 kg),Individual,Female,Slovenia,Tina Trstenjak,France,Clarisse Agbegnenou,Israel,Yarden Gerbi
Judo,Half-middleweight (63 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Netherlands,Anicka van Emden
Judo,Middleweight (70 kg),Individual,Female,Japan,Haruka Tachimoto,Colombia,Yuri Alvear,GreatBritain,Sally Conway
Judo,Middleweight (70 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Germany,Laura Vargas Koch
Judo,Half-heavyweight (78 kg),Individual,Female,UnitedStates,Kayla Harrison,France,Audrey Tcheuméo,Brazil,Mayra Aguiar
Judo,Half-heavyweight (78 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Slovenia,Anamari Velenšek
Judo,Heavyweight (+78 kg),Individual,Female,France,Émilie Andéol,Cuba,Idalys Ortiz,Japan,Kanae Yamabe
Judo,Heavyweight (+78 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,China,Yu Song
ModernPentathlon,ModernPentathlon,Individual,Male,Russia,Aleksander Lesun,Ukraine,Pavlo Tymoshchenko,Mexico,Ismael Hernández
ModernPentathlon,ModernPentathlon,Individual,Female,Australia,Chloe Esposito,France,Élodie Clouvel,Poland,Oktawia Nowacka
Rowing,Single sculls,Individual,Male,NewZealand,Mahé Drysdale,Croatia,Damir Martin,CzechRepublic,Ondrej Synek
Rowing,Double sculls,Team,Male,Croatia,Martin Sinkovi?,Lithuania,Mindaugas Griškonis,Norway,Kjetil Borch
Rowing,Double sculls,Team,Male,Croatia,Valent Sinkovi?,Lithuania,Saulius Ritter,Norway,Olaf Tufte
Rowing,Quadruple sculls,Team,Male,Germany,Philipp Wende,Australia,Karsten Forsterling,Estonia,Andrei Jämsä
Rowing,Quadruple sculls,Team,Male,Germany,Lauritz Schoof,Australia,Alexander Belonogoff,Estonia,Allar Raja
Rowing,Quadruple sculls,Team,Male,Germany,Karl Schulze,Australia,Cameron Girdlestone,Estonia,Tõnu Endrekson
Rowing,Quadruple sculls,Team,Male,Germany,Hans Gruhne,Australia,James McRae,Estonia,Kaspar Taimsoo
Rowing,Coxless pair,Team,Male,NewZealand,Eric Murray,SouthAfrica,Lawrence Brittain,Italy,Marco Di Costanzo
Rowing,Coxless pair,Team,Male,NewZealand,Hamish Bond,SouthAfrica,Shaun Keeling,Italy,Giovanni Abagnale
Rowing,Coxless four,Team,Male,GreatBritain,Alex Gregory,Australia,Will Lockwood,Italy,Domenico Montrone
Rowing,Coxless four,Team,Male,GreatBritain,Mohamed Sbihi,Australia,Josh Dunkley-Smith,Italy,Matteo Castaldo
Rowing,Coxless four,Team,Male,GreatBritain,George Nash,Australia,Josh Booth,Italy,Matteo Lodo
Rowing,Coxless four,Team,Male,GreatBritain,Constantine Louloudis,Australia,Alexander Hill,Italy,Giuseppe Vicino
Rowing,Coxed eight,Team,Male,GreatBritain,Paul Bennett,Germany,Maximilian Munski,Netherlands,Kaj Hendrik
Rowing,Coxed eight,Team,Male,GreatBritain,Scott Durant,Germany,Malte Jakschik,Netherlands,Robert Lücken
Rowing,Coxed eight,Team,Male,GreatBritain,Matt Gotrel,Germany,Andreas Kuffner,Netherlands,Boaz Meylink
Rowing,Coxed eight,Team,Male,GreatBritain,Matt Langridge,Germany,Eric Johannesen,Netherlands,Boudewijn Roell
Rowing,Coxed eight,Team,Male,GreatBritain,Tom Ransley,Germany,Maximilian Reinelt,Netherlands,Olivier Siegelaar
Rowing,Coxed eight,Team,Male,GreatBritain,Pete Reed,Germany,Felix Drahotta,Netherlands,Dirk Uittenboogaard
Rowing,Coxed eight,Team,Male,GreatBritain,William Satch,Germany,Richard Schmidt,Netherlands,Mechiel Versluis
Rowing,Coxed eight,Team,Male,GreatBritain,Andrew Triggs Hodge,Germany,Hannes Ocik,Netherlands,Tone Wieten
Rowing,Coxed eight,Team,Male,GreatBritain,Phelan Hill,Germany,Martin Sauer,Netherlands,Peter Wiersum
Rowing,"Lightweight
double sculls",Team,Male,France,Pierre Houin,Ireland,Gary O'Donovan,Norway,Kristoffer Brun
Rowing,"Lightweight
double sculls",Team,Male,France,Jérémie Azou,Ireland,Paul O'Donovan,Norway,Are Strandli
Rowing,"Lightweight
coxless four",Team,Male,Switzerland,Lucas Tramer,Denmark,Jacob Barsøe,France,Franck Solforosi
Rowing,"Lightweight
coxless four",Team,Male,Switzerland,Simon Schürch,Denmark,Jacob Larsen,France,Thomas Baroukh
Rowing,"Lightweight
coxless four",Team,Male,Switzerland,Simon Niepmann,Denmark,Kasper Winther Jørgensen,France,Guillaume Raineau
Rowing,"Lightweight
coxless four",Team,Male,Switzerland,Mario Gyr,Denmark,Morten Jørgensen,France,Thibault Colard
Rowing,Single sculls,Individual,Female,Australia,Kim Brennan,UnitedStates,Gevvie Stone,China,Duan Jingli
Rowing,Double sculls,Team,Female,Poland,Magdalena Fularczyk-Koz?owska,GreatBritain,Victoria Thornley,Lithuania,Donata Vištartait?
Rowing,Double sculls,Team,Female,Poland,Natalia Madaj,GreatBritain,Katherine Grainger,Lithuania,Milda Val?iukait?
Rowing,Quadruple sculls,Team,Female,Germany,Annekatrin Thiele,Netherlands,Chantal Achterberg,Poland,Maria Springwald
Rowing,Quadruple sculls,Team,Female,Germany,Carina Bär,Netherlands,Nicole Beukers,Poland,Joanna Leszczy?ska
Rowing,Quadruple sculls,Team,Female,Germany,Julia Lier,Netherlands,Inge Janssen,Poland,Agnieszka Kobus
Rowing,Quadruple sculls,Team,Female,Germany,Lisa Schmidla,Netherlands,Carline Bouw,Poland,Monika Ciaciuch
Rowing,Coxless pair,Team,Female,GreatBritain,Helen Glover,NewZealand,Genevieve Behrent,Denmark,Hedvig Rasmussen
Rowing,Coxless pair,Team,Female,GreatBritain,Heather Stanning,NewZealand,Rebecca Scown,Denmark,Anne Andersen
Rowing,Coxed eight,Team,Female,UnitedStates,Emily Regan,GreatBritain,Katie Greves,Romania,Roxana Cogianu
Rowing,Coxed eight,Team,Female,UnitedStates,Kerry Simmonds,GreatBritain,Melanie Wilson,Romania,Ioana Strungaru
Rowing,Coxed eight,Team,Female,UnitedStates,Amanda Polk,GreatBritain,Frances Houghton,Romania,Mihaela Petril?
Rowing,Coxed eight,Team,Female,UnitedStates,Lauren Schmetterling,GreatBritain,Polly Swann,Romania,Iuliana Popa
Rowing,Coxed eight,Team,Female,UnitedStates,Tessa Gobbo,GreatBritain,Jessica Eddie,Romania,M?d?lina Beres
Rowing,Coxed eight,Team,Female,UnitedStates,Meghan Musnicki,GreatBritain,Olivia Carnegie-Brown,Romania,Laura Oprea
Rowing,Coxed eight,Team,Female,UnitedStates,Elle Logan,GreatBritain,Karen Bennett,Romania,Adelina Bogu?
Rowing,Coxed eight,Team,Female,UnitedStates,Amanda Elmore,GreatBritain,Zoe Lee,Romania,Andreea Boghian
Rowing,Coxed eight,Team,Female,UnitedStates,Katelin Snyder,GreatBritain,Zoe De Toledo,Romania,Daniela Druncea
Rowing,"Lightweight
double sculls",Team,Female,Netherlands,Ilse Paulis,Canada,Lindsay Jennerich,China,Huang Wenyi
Rowing,"Lightweight
double sculls",Team,Female,Netherlands,Maaike Head,Canada,Patricia Obee,China,Pan Feihong
Rugby,Rugby,Team,Male,Fiji,Masivesi Dakuwaqa,GreatBritain,Mark Bennett,SouthAfrica,Cecil Afrika
Rugby,Rugby,Team,Male,Fiji,Apisai Domolailai,GreatBritain,Dan Bibby,SouthAfrica,Tim Agaba
Rugby,Rugby,Team,Male,Fiji,Osea Kolinisau,GreatBritain,Phil Burgess,SouthAfrica,Kyle Brown
Rugby,Rugby,Team,Male,Fiji,Semi Kunatani,GreatBritain,Sam Cross,SouthAfrica,Juan de Jongh
Rugby,Rugby,Team,Male,Fiji,Viliame Mata,GreatBritain,James Davies,SouthAfrica,Justin Geduld
Rugby,Rugby,Team,Male,Fiji,Leone Nakarawa,GreatBritain,Ollie Lindsay-Hague,SouthAfrica,Francois Hougaard
Rugby,Rugby,Team,Male,Fiji,Vatemo Ravouvou,GreatBritain,Ruaridh McConnochie,SouthAfrica,Werner Kok
Rugby,Rugby,Team,Male,Fiji,Kitione Taliga,GreatBritain,Tom Mitchell,SouthAfrica,Cheslin Kolbe
Rugby,Rugby,Team,Male,Fiji,Josua Tuisova,GreatBritain,Dan Norton,SouthAfrica,Dylan Sage
Rugby,Rugby,Team,Male,Fiji,Jerry Tuwai,GreatBritain,Mark Robertson,SouthAfrica,Kwagga Smith
Rugby,Rugby,Team,Male,Fiji,Jasa Veremalua,GreatBritain,James Rodwell,SouthAfrica,Philip Snyman
Rugby,Rugby,Team,Male,Fiji,Samisoni Viriviri,GreatBritain,Marcus Watson,SouthAfrica,Roscko Speckman
Rugby,Rugby,Team,Female,Australia,Nicole Beck,NewZealand,Shakira Baker,Canada,Brittany Benn
Rugby,Rugby,Team,Female,Australia,Charlotte Caslick,NewZealand,Kelly Brazier,Canada,Hannah Darling
Rugby,Rugby,Team,Female,Australia,Emilee Cherry,NewZealand,Gayle Broughton,Canada,Bianca Farella
Rugby,Rugby,Team,Female,Australia,Chloe Dalton,NewZealand,Theresa Fitzpatrick,Canada,Jen Kish
Rugby,Rugby,Team,Female,Australia,Gemma Etheridge,NewZealand,Sarah Goss,Canada,Ghislaine Landry
Rugby,Rugby,Team,Female,Australia,Ellia Green,NewZealand,Huriana Manuel,Canada,Megan Lukan
Rugby,Rugby,Team,Female,Australia,Shannon Parry,NewZealand,Kayla McAlister,Canada,Kayla Moleschi
Rugby,Rugby,Team,Female,Australia,Evania Pelite,NewZealand,Tyla Nathan-Wong,Canada,Karen Paquin
Rugby,Rugby,Team,Female,Australia,Alicia Quirk,NewZealand,Terina Te Tamaki,Canada,Kelly Russell
Rugby,Rugby,Team,Female,Australia,Emma Tonegato,NewZealand,Ruby Tui,Canada,Ashley Steacy
Rugby,Rugby,Team,Female,Australia,Amy Turner,NewZealand,Niall Williams,Canada,Natasha Watcham-Roy
Rugby,Rugby,Team,Female,Australia,Sharni Williams,NewZealand,Portia Woodman,Canada,Charity Williams
Sailing,2016: Women's RS:X,Individual,Female,France,Charline Picon,China,Chen Peina,Russia,Stefania Elfutina
Sailing,2016: Laser Radial,Individual,Female,Netherlands,Marit Bouwmeester,Ireland,Annalise Murphy,Denmark,Anne-Marie Rindom
Sailing,2016: Women's 470,Team,Female,GreatBritain,Hannah Mills,NewZealand,Jo Aleh,France,Camille Lecointre
Sailing,2016: Women's 470,Team,Female,GreatBritain,Saskia Clark,NewZealand,Olivia Powrie,France,Hélène Defrance
Sailing,2016: 49erFX,Team,Female,Brazil,Martine Grael,NewZealand,Alex Maloney,Denmark,Jena Mai Hansen
Sailing,2016: 49erFX,Team,Female,Brazil,Kahena Kunze,NewZealand,Molly Meech,Denmark,Katja Salskov-Iversen
Sailing,2016: Men's RS:X,Individual,Male,Netherlands,Dorian van Rijsselberghe,GreatBritain,Nick Dempsey,France,Pierre Le Coq
Sailing,2016: Laser,Individual,Male,Australia,Tom Burton,Croatia,Ton?i Stipanovi?,NewZealand,Sam Meech
Sailing,2016: Finn,Individual,Male,GreatBritain,Giles Scott,Slovenia,Vasilij Žbogar,UnitedStates,Caleb Paine
Sailing,2016: Men's 470,Team,Male,Croatia,Šime Fantela,Australia,Mathew Belcher,Greece,Panagiotis Mantis
Sailing,2016: Men's 470,Team,Male,Croatia,Igor Mareni?,Australia,William Ryan,Greece,Pavlos Kagialis
Sailing,2016: 49er,Team,Male,NewZealand,Peter Burling,Australia,Nathan Outteridge,Germany,Erik Heil
Sailing,2016: 49er,Team,Male,NewZealand,Blair Tuke,Australia,Iain Jensen,Germany,Thomas Plößel
Sailing,2016: Nacra 17,Team,Mixed,Argentina,Santiago Lange,Australia,Jason Waterhouse,Austria,Thomas Zajac
Sailing,2016: Nacra 17,Team,Mixed,Argentina,Cecilia Carranza Saroli,Australia,Lisa Darmanin,Austria,Tanja Frank
Shooting,10 metre air pistol,Individual,Male,Vietnam,Hoàng Xuân Vinh,Brazil,Felipe Almeida Wu,China,Pang Wei
Shooting,10 metre air rifle,Individual,Male,Italy,Niccolò Campriani,Ukraine,Serhiy Kulish,Russia,Vladimir Maslennikov
Shooting,25 metre rapid fire pistol,Individual,Male,Germany,Christian Reitz,France,Jean Quiquampoix,China,Li Yuehong
Shooting,50 metre pistol,Individual,Male,SouthKorea,Jin Jong-oh,Vietnam,Hoàng Xuân Vinh,NorthKorea,Kim Song-guk
Shooting,50 metre rifle prone,Individual,Male,Germany,Henri Junghänel,SouthKorea,Kim Jong-hyun,Russia,Kirill Grigoryan
Shooting,50 metre rifle three positions,Individual,Male,Italy,Niccolò Campriani,Russia,Sergey Kamenskiy,France,Alexis Raynaud
Shooting,Skeet,Individual,Male,Italy,Gabriele Rossetti,Sweden,Marcus Svensson,Independent Olympic Athletes,Abdullah Al-Rashidi
Shooting,Trap,Individual,Male,Croatia,Josip Glasnovi?,Italy,Giovanni Pellielo,GreatBritain,Edward Ling
Shooting,Double trap,Individual,Male,Independent Olympic Athletes,Fehaid Al-Deehani,Italy,Marco Innocenti,GreatBritain,Steven Scott
Shooting,10 metre air pistol,Individual,Female,China,Zhang Mengxue,Russia,Vitalina Batsarashkina,Greece,Anna Korakaki
Shooting,10 metre air rifle,Individual,Female,UnitedStates,Virginia Thrasher,China,Du Li,China,Yi Siling
Shooting,25 metre pistol,Individual,Female,Greece,Anna Korakaki,Germany,Monika Karsch,Switzerland,Heidi Diethelm Gerber
Shooting,50 metre rifle three positions,Individual,Female,Germany,Barbara Engleder,China,Zhang Binbin,China,Du Li
Shooting,Skeet,Individual,Female,Italy,Diana Bacosi,Italy,Chiara Cainero,UnitedStates,Kim Rhode
Shooting,Trap,Individual,Female,Australia,Catherine Skinner,NewZealand,Natalie Rooney,UnitedStates,Corey Cogdell
TableTennis,Men's singles,Individual,Male,China,Ma Long,China,Zhang Jike,Japan,Jun Mizutani
TableTennis,Men's team,Team,Male,China,Zhang Jike,Japan,Koki Niwa,Germany,Timo Boll
TableTennis,Men's team,Team,Male,China,Ma Long,Japan,Jun Mizutani,Germany,Dimitrij Ovtcharov
TableTennis,Men's team,Team,Male,China,Xu Xin,Japan,Maharu Yoshimura,Germany,Bastian Steger
TableTennis,Women's singles,Individual,Female,China,Ding Ning,China,Li Xiaoxia,NorthKorea,Kim Song-i
TableTennis,Women's team,Team,Female,China,Liu Shiwen,Germany,Han Ying,Japan,Ai Fukuhara
TableTennis,Women's team,Team,Female,China,Ding Ning,Germany,Petrissa Solja,Japan,Kasumi Ishikawa
TableTennis,Women's team,Team,Female,China,Li Xiaoxia,Germany,Shan Xiaona,Japan,Mima Ito
Taekwondo,Flyweight (58 kg),Individual,Male,China,Zhao Shuai,Thailand,Tawin Hanprab,DominicanRepublic,Luisito Pie
Taekwondo,Flyweight (58 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,SouthKorea,Kim Tae-hun
Taekwondo,Featherweight (68 kg),Individual,Male,Jordan,Ahmad Abu-Ghaush,Russia,Alexey Denisenko,SouthKorea,Lee Dae-hoon
Taekwondo,Featherweight (68 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Spain,Joel González
Taekwondo,Welterweight (80 kg),Individual,Male,IvoryCoast,Cheick Sallah Cissé,GreatBritain,Lutalo Muhammad,Azerbaijan,Milad Beigi
Taekwondo,Welterweight (80 kg),Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Tunisia,Oussama Oueslati
Taekwondo,Heavyweight (+80 kg,Individual,Male,Azerbaijan,Radik Isayev,Niger,Abdoul Razak Issoufou,Brazil,Maicon Siqueira
Taekwondo,Heavyweight (+80 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,SouthKorea,Cha Dong-min
Taekwondo,Flyweight (49 kg),Individual,Female,SouthKorea,Kim So-hui,Serbia,Tijana Bogdanovi?,Azerbaijan,Patimat Abakarova
Taekwondo,Flyweight (49 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Thailand,Panipak Wongpattanakit
Taekwondo,Featherweight (57 kg),Individual,Female,GreatBritain,Jade Jones,Spain,Eva Calvo,Egypt,Hedaya Malak
Taekwondo,Featherweight (57 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Iran,Kimia Alizadeh
Taekwondo,Welterweight (67 kg),Individual,Female,SouthKorea,Oh Hye-ri,France,Haby Niaré,IvoryCoast,Ruth Gbagbi
Taekwondo,Welterweight (67 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Turkey,Nur Tatar
Taekwondo,Heavyweight (+67 kg),Individual,Female,China,Zheng Shuyin,Mexico,María Espinoza,GreatBritain,Bianca Walkden
Taekwondo,Heavyweight (+67 kg),Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,UnitedStates,Jackie Galloway
Tennis,Men's Singles,Individual,Male,GreatBritain,Andy Murray,Argentina,Juan Martín del Potro,Japan,Kei Nishikori
Tennis,Men's Doubles,Team,Male,Spain,Marc López,Romania,Florin Mergea,UnitedStates,Steve Johnson
Tennis,Men's Doubles,Team,Male,Spain,Rafael Nadal,Romania,Horia Tec?u,UnitedStates,Jack Sock
Tennis,Women's Singles,Individual,Female,PuertoRico,Mónica Puig,Germany,Angelique Kerber,CzechRepublic,Petra Kvitová
Tennis,Women's Doubles,Team,Female,Russia,Ekaterina Makarova,Switzerland,Timea Bacsinszky,CzechRepublic,Lucie Šafá?ová
Tennis,Women's Doubles,Team,Female,Russia,Elena Vesnina,Switzerland,Martina Hingis,CzechRepublic,Barbora Strýcová
Tennis,Mixed Doubles,Team,Mixed,UnitedStates,Bethanie Mattek-Sands,UnitedStates,Venus Williams,CzechRepublic,Lucie Hradecká
Tennis,Mixed Doubles,Team,Mixed,UnitedStates,Jack Sock,UnitedStates,Rajeev Ram,CzechRepublic,Radek Št?pánek
Triathlon,Men's individual,Individual,Male,GreatBritain,Alistair Brownlee,GreatBritain,Jonathan Brownlee,SouthAfrica,Henri Schoeman
Triathlon,Women's individual,Individual,Female,UnitedStates,Gwen Jorgensen,Switzerland,Nicola Spirig Hug,GreatBritain,Vicky Holland
Volleyball,Men's indoor,Team,Male,Brazil,William Arjona,Italy,Oleg Antonov,UnitedStates,Matthew Anderson
Volleyball,Men's indoor,Team,Male,Brazil,Éder Carbonera,Italy,Emanuele Birarelli,UnitedStates,Micah Christenson
Volleyball,Men's indoor,Team,Male,Brazil,Wallace de Souza,Italy,Simone Buti,UnitedStates,Maxwell Holt
Volleyball,Men's indoor,Team,Male,Brazil,Luiz Felipe Fonteles,Italy,Massimo Colaci,UnitedStates,Thomas Jaeschke
Volleyball,Men's indoor,Team,Male,Brazil,Evandro Guerra,Italy,Simone Giannelli,UnitedStates,David Lee
Volleyball,Men's indoor,Team,Male,Brazil,Ricardo Lucarelli Souza,Italy,Osmany Juantorena,UnitedStates,William Priddy
Volleyball,Men's indoor,Team,Male,Brazil,Bruno Rezende,Italy,Filippo Lanza,UnitedStates,Aaron Russell
Volleyball,Men's indoor,Team,Male,Brazil,Lucas Saatkamp,Italy,Matteo Piano,UnitedStates,Taylor Sander
Volleyball,Men's indoor,Team,Male,Brazil,Sérgio Santos,Italy,Salvatore Rossini,UnitedStates,Erik Shoji
Volleyball,Men's indoor,Team,Male,Brazil,Maurício Silva,Italy,Pasquale Sottile,UnitedStates,Kawika Shoji
Volleyball,Men's indoor,Team,Male,Brazil,Douglas Souza,Italy,Luca Vettori,UnitedStates,David Smith
