Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Boxing,Lightweight,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Russia,Anastasia Belyakova
Boxing,Middleweight,Individual,Female,UnitedStates,Claressa Shields,Netherlands,Nouchka Fontijn,Kazakhstan,Dariga Shakimova
Boxing,Middleweight,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,China,Li Qian
Canoeing-Slalom,Men's C-1,Individual,Male,France,Denis Gargaud Chanut,Slovakia,Matej Be?uš,Japan,Takuya Haneda
Canoeing-Slalom,Men's C-2,Team,Male,Slovakia,Ladislav Škantár,GreatBritain,David Florence,France,Gauthier Klauss
Canoeing-Slalom,Men's C-2,Team,Male,Slovakia,Peter Škantár,GreatBritain,Richard Hounslow,France,Matthieu Péché
Canoeing-Slalom,Men's K-1,Individual,Male,GreatBritain,Joseph Clarke,Slovenia,Peter Kauzer,CzechRepublic,Ji?í Prskavec
Canoeing-Slalom,Women's K-1,Individual,Female,Spain,Maialen Chourraut,NewZealand,Luuka Jones,Australia,Jessica Fox
Canoeing-Flatwater,Men's C-1 200 m,Individual,Male,Ukraine,Yuriy Cheban,Azerbaijan,Valentin Demyanenko,Brazil,Isaquias Queiroz
Canoeing-Flatwater,Men's C-1 1000 m,Individual,Male,Germany,Sebastian Brendel,Brazil,Isaquias Queiroz,Moldova,Serghei Tarnovschi
Canoeing-Flatwater,Men's C-2 1000 m,Team,Male,Germany,Sebastian Brendel,Brazil,Erlon Silva,Ukraine,Dmytro Ianchuk
Canoeing-Flatwater,Men's C-2 1000 m,Team,Male,Germany,Jan Vandrey,Brazil,Isaquias Queiroz,Ukraine,Taras Mishchuk
Canoeing-Flatwater,Men's K-1 200 m,Individual,Male,GreatBritain,Liam Heath,France,Maxime Beaumont,Spain,Saúl Craviotto
Canoeing-Flatwater,Men's K-1 200 m,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Germany,Ronald Rauhe
Canoeing-Flatwater,Men's K-1 1000 m,Individual,Male,Spain,Marcus Walz,CzechRepublic,Josef Dostál,Russia,Roman Anoshkin
Canoeing-Flatwater,Men's K-2 200 m,Team,Male,Spain,Saúl Craviotto,GreatBritain,Liam Heath,Lithuania,Aurimas Lankas
Canoeing-Flatwater,Men's K-2 200 m,Team,Male,Spain,Cristian Toro,GreatBritain,Jon Schofield,Lithuania,Edvinas Ramanauskas
Canoeing-Flatwater,Men's K-2 1000 m,Team,Male,Germany,Max Rendschmidt,Serbia,Marko Tomi?evi?,Australia,Ken Wallace
Canoeing-Flatwater,Men's K-2 1000 m,Team,Male,Germany,Marcus Gross,Serbia,Milenko Zori?,Australia,Lachlan Tame
Canoeing-Flatwater,Men's K-4 1000 m,Team,Male,Germany,Max Rendschmidt,Slovakia,Denis Myšák,CzechRepublic,Daniel Havel
Canoeing-Flatwater,Men's K-4 1000 m,Team,Male,Germany,Tom Liebscher,Slovakia,Erik Vl?ek,CzechRepublic,Lukáš Trefil
Canoeing-Flatwater,Men's K-4 1000 m,Team,Male,Germany,Max Hoff,Slovakia,Juraj Tarr,CzechRepublic,Josef Dostál
Canoeing-Flatwater,Men's K-4 1000 m,Team,Male,Germany,Marcus Gross,Slovakia,Tibor Linka,CzechRepublic,Jan Št?rba
Canoeing-Flatwater,Women's K-1 200 m,Individual,Female,NewZealand,Lisa Carrington,Poland,Marta Walczykiewicz,Azerbaijan,Inna Osypenko-Radomska
Canoeing-Flatwater,Women's K-1 500 m,Individual,Female,Hungary,Danuta Kozák,Denmark,Emma Jørgensen,NewZealand,Lisa Carrington
Canoeing-Flatwater,Women's K-2 500 m,Team,Female,Hungary,Gabriella Szabó,Germany,Franziska Weber,Poland,Karolina Naja
Canoeing-Flatwater,Women's K-2 500 m,Team,Female,Hungary,Danuta Kozák,Germany,Tina Dietze,Poland,Beata Miko?ajczyk
Canoeing-Flatwater,Women's K-4 500 m,Team,Female,Hungary,Gabriella Szabó,Germany,Sabrina Hering,Belarus,Marharyta Makhneva
Canoeing-Flatwater,Women's K-4 500 m,Team,Female,Hungary,Danuta Kozák,Germany,Franziska Weber,Belarus,Nadzeya Liapeshka
Canoeing-Flatwater,Women's K-4 500 m,Team,Female,Hungary,Tamara Csipes,Germany,Steffi Kriegerstein,Belarus,Volha Khudzenka
Canoeing-Flatwater,Women's K-4 500 m,Team,Female,Hungary,Krisztina Fazekas,Germany,Tina Dietze,Belarus,Maryna Litvinchuk
Cycling-Road_cycling,Men's road race,Individual,Male,Belgium,Greg Van Avermaet,Denmark,Jakob Fuglsang,Poland,Rafa? Majka
Cycling-Road_cycling,Women's road race,Individual,Female,Netherlands,Anna van der Breggen,Sweden,Emma Johansson,Italy,Elisa Longo Borghini
Cycling-Road_cycling,Men's time trial,Individual,Male,Switzerland,Fabian Cancellara,Netherlands,Tom Dumoulin,GreatBritain,Chris Froome
Cycling-Road_cycling,Women's time trial,Individual,Female,UnitedStates,Kristin Armstrong,Russia,Olga Zabelinskaya,Netherlands,Anna van der Breggen
