Rank	Country	WeightedMedals	Gold	Silver	Bronze	Population	PopulationperWeighted Medal	Year	CountryOld
1	GRD	2	0	1	0	106825	53412	2016	Grenada
2	BHM	5	1	0	1	388019	77603	2016	Bahamas
3	JAM	32	6	3	2	2725941	85185	2016	Jamaica
4	NZL	39	4	9	5	4595700	117838	2016	New Zealand
5	HRV	28	5	3	2	4224404	150871	2016	Croatia
6	DNK	27	2	6	7	5676002	210222	2016	Denmark
7	FJI	4	1	0	0	892145	223036	2016	Fiji
8	SVN	9	1	2	1	2063768	229307	2016	Slovenia
9	BHR	6	1	1	0	1377237	229539	2016	Bahrain
10	HUN	42	8	3	4	9844686	234397	2016	Hungary
11	GEO	14	2	1	4	3679000	262785	2016	Georgia
12	ARM	10	1	3	0	3017712	301771	2016	Armenia
13	NLD	50	8	7	4	16936520	338730	2016	Netherlands
14	AZE	28	1	7	10	9651349	344691	2016	Azerbaijan
15	AUS	64	8	11	10	23781169	371580	2016	Australia
16	GBR	171	27	23	17	65138232	380925	2016	Great Britain
17	SRB	18	2	4	2	7098247	394347	2016	Serbia
18	CUB	28	5	2	4	11389562	406770	2016	Cuba
19	SWE	23	2	6	3	9798871	426037	2016	Sweden
20	SVK	12	2	2	0	5424050	452004	2016	Slovakia
21	CHE	18	3	2	2	8286976	460387	2016	Switzerland
22	KSV	4	1	0	0	1859203	464800	2016	Kosovo
23	KAZ	31	3	5	9	17544126	565939	2016	Kazakhstan
24	LTU	5	0	1	3	2910199	582039	2016	Lithuania
25	BLR	16	1	4	4	9513000	594562	2016	Belarus
26	GRC	16	3	1	2	10823732	676483	2016	Greece
27	CZE	15	1	2	7	10551219	703414	2016	Czech Republic
28	FRA	90	10	18	14	66808385	742315	2016	France
29	DEU	103	17	10	15	81413145	790418	2016	Germany
30	BEL	14	2	2	2	11285721	806122	2016	Belgium
31	PRI	4	1	0	0	3474182	868545	2016	Puerto Rico
32	ITA	64	8	12	8	60802085	950032	2016	Italy
33	CAN	37	4	3	15	35851774	968966	2016	Canada
34	MNG	3	0	1	1	2959134	986378	2016	Mongolia
35	PRK	51	9	3	9	50617045	992491	2016	South Korea
36	USA	296	46	37	38	321418820	1085874	2016	United States
37	RUS	131	19	18	19	144096812	1099975	2016	Russian Federation
38	ESP	42	7	4	6	46418269	1105196	2016	Spain
39	QAT	2	0	1	0	2235355	1117677	2016	Qatar
40	UZB	27	4	2	7	31299500	1159240	2016	Uzbekistan
41	IRL	4	0	2	0	4640703	1160175	2016	Ireland
42	KEN	37	6	6	1	46050302	1244602	2016	Kenya
43	NOR	4	0	0	4	5195921	1298980	2016	Norway
44	EST	1	0	0	1	1311998	1311998	2016	Estonia
45	TTO	1	0	0	1	1360088	1360088	2016	Trinidad and Tobago
46	SGP	4	1	0	0	5535002	1383750	2016	Singapore
47	JPN	85	12	8	21	126958472	1493629	2016	Japan
48	KOR	16	2	3	2	25155317	1572207	2016	North Korea
49	BGR	4	0	1	2	7177991	1794497	2016	Bulgaria
50	JOR	4	1	0	0	7594547	1898636	2016	Jordan
51	POL	20	2	3	6	37999494	1899974	2016	Poland
52	UKR	22	2	5	4	45198200	2054463	2016	Ukraine
53	TJK	4	1	0	0	8481855	2120463	2016	Tajikistan
54	ROU	9	1	1	3	19832389	2203598	2016	Romania
55	ZAF	22	2	6	2	54956920	2498041	2016	South Africa
56	COL	19	3	2	3	48228704	2538352	2016	Colombia
57	ARG	14	3	1	0	43416755	3101196	2016	Argentina
58	MYS	9	0	4	1	30331007	3370111	2016	Malaysia
59	MDA	1	0	0	1	3554150	3554150	2016	Moldova
60	TUN	3	0	0	3	11107800	3702600	2016	Tunisia
61	TWN	6	1	0	2	23510000	3918333	2016	Taiwan
62	ISR	2	0	0	2	8380400	4190200	2016	Israel
63	IRN	18	3	1	4	79109272	4394959	2016	Iran
64	BRA	46	7	6	6	207847528	4518424	2016	Brazil
66	THA	14	2	2	2	67959359	4854239	2016	Thailand
67	FIN	1	0	0	1	5482013	5482013	2016	Finland
68	BDI	2	0	1	0	11178921	5589460	2016	Burundi
69	TUR	14	1	3	4	78665830	5618987	2016	Turkey
70	ETH	13	1	2	5	99390750	7645442	2016	Ethiopia
71	VEN	4	0	1	2	31108083	7777020	2016	Venezuela
72	CHN	166	26	18	26	1371220000	8260361	2016	China
73	AUT	1	0	0	1	8611088	8611088	2016	Austria
74	ARE	1	0	0	1	9156963	9156963	2016	United Arab Emirates
75	DZA	4	0	2	0	39666519	9916629	2016	Algeria
76	NER	2	0	1	0	19899120	9949560	2016	Niger
77	PRT	1	0	0	1	10348648	10348648	2016	Portugal
78	DOM	1	0	0	1	10528391	10528391	2016	Dominican Republic
79	VNM	6	1	1	0	91703800	15283966	2016	Vietnam
80	MEX	8	0	3	2	127017224	15877153	2016	Mexico
81	EGY	3	0	0	3	91508084	30502694	2016	Egypt
82	IDN	8	1	2	0	257563815	32195476	2016	Indonesia
83	MAR	1	0	0	1	34377511	34377511	2016	Morocco
84	PHL	2	0	1	0	100699395	50349697	2016	Philippines
85	NGA	1	0	0	1	182201962	182201962	2016	Nigeria
86	IND	3	0	1	1	1311050527	437016842	2016	India
1	GRD	4	1	0	0	110821	27705	2012	Grenada
2	BHM	4	1	0	0	353658	88414	2012	Bahamas
3	JAM	28	4	4	4	2705827	96636	2012	Jamaica
4	NZL	33	6	2	5	4432620	134321	2012	New Zealand
5	TTO	7	1	0	3	1317714	188244	2012	Trinidad and Tobago
6	HUN	45	8	4	5	9962000	221377	2012	Hungary
7	SVN	8	1	1	2	2057540	257192	2012	Slovenia
8	LTU	12	2	1	2	3192800	266066	2012	Lithuania
9	HRV	16	3	1	2	4290612	268163	2012	Croatia
10	DNK	19	2	4	3	5580516	293711	2012	Denmark
11	MNE	2	0	1	0	620029	310014	2012	Montenegro
12	AUS	72	7	16	12	22880619	317786	2012	Australia
13	GEO	13	1	3	3	4469200	343784	2012	Georgia
14	CUB	32	5	3	6	11241161	351286	2012	Cuba
15	GBR	169	29	17	19	62262000	368414	2012	Great Britain
16	NLD	44	6	6	8	16731770	380267	2012	Netherlands
17	MNG	7	0	2	3	2736800	390971	2012	Mongolia
18	BLR	23	2	5	5	9461400	411365	2012	Belarus
19	LVA	5	1	0	1	2070371	414074	2012	Latvia
20	CYP	2	0	1	0	838897	419448	2012	Cyprus
21	CZE	25	4	3	3	10504203	420168	2012	Czech Republic
22	EST	3	0	1	1	1318005	439335	2012	Estonia
23	NOR	11	2	1	1	5005700	455063	2012	Norway
24	KAZ	35	7	1	5	16718000	477657	2012	Kazakhstan
25	AZE	18	2	2	6	9111100	506172	2012	Azerbaijan
26	IRL	9	1	1	3	4588252	509805	2012	Ireland
27	SWE	15	1	4	3	9490683	632712	2012	Sweden
28	PRK	75	13	8	7	48580000	647733	2012	South Korea
29	CHE	12	2	2	0	7870100	655841	2012	Switzerland
30	GAB	2	0	1	0	1534000	767000	2012	Gabon
31	RUS	178	24	25	32	143056383	803687	2012	Russian Federation
32	ARM	4	0	1	2	3268500	817125	2012	Armenia
33	FRA	78	11	11	12	65350000	837820	2012	France
34	QAT	2	0	0	2	1699435	849717	2012	Qatar
35	DEU	96	11	19	14	81831000	852406	2012	Germany
36	SRB	8	1	1	2	7120666	890083	2012	Serbia
37	ROU	20	2	5	2	19042936	952146	2012	Romania
38	ITA	61	8	9	11	60776531	996336	2012	Italy
39	BWA	2	0	1	0	2038228	1019114	2012	Botswana
40	UKR	43	6	5	9	45644419	1061498	2012	Ukraine
41	SVK	5	0	1	3	5445324	1089064	2012	Slovakia
42	USA	271	46	29	29	313382000	1156391	2012	United States
43	BHR	1	0	0	1	1234571	1234571	2012	Bahrain
44	PRI	3	0	1	1	3725789	1241929	2012	Puerto Rico
45	ESP	36	3	10	4	46196278	1283229	2012	Spain
46	KOR	18	4	0	2	24052231	1336235	2012	North Korea
47	CAN	26	1	5	12	34771400	1337361	2012	Canada
48	FIN	4	0	1	2	5407040	1351760	2012	Finland
49	TUN	7	1	1	1	10673800	1524828	2012	Tunisia
50	DOM	6	1	1	0	9378818	1563136	2012	Dominican Republic
51	JPN	73	7	14	17	127650000	1748630	2012	Japan
52	MDA	2	0	0	2	3559500	1779750	2012	Moldova
53	KEN	21	2	4	5	38610097	1838576	2012	Kenya
54	POL	18	2	2	6	38501000	2138944	2012	Poland
55	BGR	3	0	1	1	7364570	2454856	2012	Bulgaria
56	SGP	2	0	0	2	5183700	2591850	2012	Singapore
57	IRN	29	4	5	3	76309000	2631344	2012	Iran
58	BEL	4	0	1	2	10951266	2737816	2012	Belgium
59	ZAF	17	3	2	1	50586757	2975691	2012	South Africa
60	COL	14	1	3	4	46475000	3319642	2012	Colombia
61	KWT	1	0	0	1	3582054	3582054	2012	Kuwait
62	UZB	7	1	0	3	29123400	4160485	2012	Uzbekistan
63	ETH	17	3	1	3	84320987	4960058	2012	Ethiopia
64	ARG	8	1	1	2	40117096	5014637	2012	Argentina
65	PRT	2	0	1	0	10561614	5280807	2012	Portugal
66	GRC	2	0	0	2	10787690	5393845	2012	Greece
67	TUR	13	2	2	1	74724269	5748020	2012	Turkey
68	CHN	229	38	27	23	1347350000	5883624	2012	China
69	BRA	31	3	5	9	192376496	6205693	2012	Brazil
70	VEN	4	1	0	0	27150095	6787523	2012	Venezuela
71	HKG	1	0	0	1	7103700	7103700	2012	Hong Kong
72	GTM	2	0	1	0	14713763	7356881	2012	Guatemala
73	TJK	1	0	0	1	7616000	7616000	2012	Tajikistan
74	TWN	3	0	1	1	23234003	7744667	2012	Taiwan
75	UGA	4	1	0	0	32939800	8234950	2012	Uganda
76	MEX	13	1	3	3	112336538	8641272	2012	Mexico
77	DZA	4	1	0	0	37100000	9275000	2012	Algeria
78	MYS	3	0	1	1	28334135	9444711	2012	Malaysia
79	THA	5	0	2	1	65479453	13095890	2012	Thailand
80	EGY	4	0	2	0	81927000	20481750	2012	Egypt
81	AFG	1	0	0	1	24485600	24485600	2012	Afghanistan
82	SAU	1	0	0	1	27136977	27136977	2012	Saudi Arabia
83	MAR	1	0	0	1	32526800	32526800	2012	Morocco
84	IDN	3	0	1	1	237641326	79213775	2012	Indonesia
85	IND	8	0	2	4	1241491960	155186495	2012	India
1	JAM	32	6	3	2	2705827	84557	2008	Jamaica
2	NLD	2	0	1	0	227049	113524	2008	Netherlands Antilles
3	BHM	3	0	1	1	353658	117886	2008	Bahamas
4	ISL	2	0	1	0	319575	159787	2008	Iceland
5	SVN	10	1	2	2	2057540	205754	2008	Slovenia
6	NOR	24	3	5	2	5005700	208570	2008	Norway
7	EST	6	1	1	0	1318005	219667	2008	Estonia
8	AUS	103	14	15	17	22880619	222141	2008	Australia
9	MNG	12	2	2	0	2736800	228066	2008	Mongolia
10	NZL	19	3	1	5	4432620	233295	2008	New Zealand
11	BLR	36	4	5	10	9461400	262816	2008	Belarus
12	CUB	41	2	11	11	11241161	274174	2008	Cuba
13	LVA	7	1	1	1	2070371	295767	2008	Latvia
14	GEO	15	3	0	3	4469200	297946	2008	Georgia
15	BHR	4	1	0	0	1234571	308642	2008	Bahrain
16	SVK	17	3	2	1	5445324	320313	2008	Slovakia
17	TTO	4	0	2	0	1317714	329428	2008	Trinidad and Tobago
18	DNK	15	2	2	3	5580516	372034	2008	Denmark
19	NLD	42	7	5	4	16731770	398375	2008	Netherlands
20	HUN	24	3	5	2	9962000	415083	2008	Hungary
21	LTU	7	0	2	3	3192800	456114	2008	Lithuania
22	GBR	117	19	13	15	62262000	532153	2008	Great Britain
23	ARM	6	0	0	6	3268500	544750	2008	Armenia
24	CZE	18	3	3	0	10504203	583566	2008	Czech Republic
25	PRK	80	13	10	8	48580000	607250	2008	South Korea
26	HRV	7	0	2	3	4290612	612944	2008	Croatia
27	CHE	12	2	0	4	7870100	655841	2008	Switzerland
28	FIN	8	1	1	2	5407040	675880	2008	Finland
29	KAZ	23	2	4	7	16718000	726869	2008	Kazakhstan
30	AZE	12	1	2	4	9111100	759258	2008	Azerbaijan
31	BGR	9	1	1	3	7364570	818285	2008	Bulgaria
32	DEU	99	16	10	15	81831000	826575	2008	Germany
33	FRA	77	7	16	17	65350000	848701	2008	France
34	PAN	4	1	0	0	3405813	851453	2008	Panama
35	UKR	53	7	5	15	45644419	861215	2008	Ukraine
36	RUS	162	23	21	28	143056383	883064	2008	Russian Federation
37	ROU	21	4	1	3	19042936	906806	2008	Romania
38	CAN	36	3	9	6	34771400	965872	2008	Canada
39	ITA	62	8	10	10	60776531	980266	2008	Italy
40	SWE	9	0	4	1	9490683	1054520	2008	Sweden
41	ESP	43	5	10	3	46196278	1074332	2008	Spain
42	KEN	34	5	5	4	38610097	1135591	2008	Kenya
43	IRL	4	0	1	2	4588252	1147063	2008	Ireland
44	USA	256	36	38	36	313382000	1224148	2008	United States
45	ZWE	10	1	3	0	12754000	1275400	2008	Zimbabwe
46	MUS	1	0	0	1	1286051	1286051	2008	Mauritius
47	POL	25	3	6	1	38501000	1540040	2008	Poland
48	DOM	6	1	1	0	9378818	1563136	2008	Dominican Republic
49	PRT	6	1	1	0	10561614	1760269	2008	Portugal
50	SRB	4	0	1	2	7120666	1780166	2008	Serbia
51	GRC	6	0	2	2	10787690	1797948	2008	Greece
52	BEL	6	1	1	0	10951266	1825211	2008	Belgium
53	KGZ	3	0	1	1	5477600	1825866	2008	Kyrgyzstan
54	KOR	13	2	1	3	24052231	1850171	2008	North Korea
55	AUT	4	0	1	2	8452835	2113208	2008	Austria
56	JPN	58	9	6	10	127650000	2200862	2008	Japan
57	TJK	3	0	1	1	7616000	2538666	2008	Tajikistan
58	SGP	2	0	1	0	5183700	2591850	2008	Singapore
59	UZB	11	1	2	3	29123400	2647581	2008	Uzbekistan
60	TUN	4	1	0	0	10673800	2668450	2008	Tunisia
61	ARG	12	2	0	4	40117096	3343091	2008	Argentina
62	MDA	1	0	0	1	3559500	3559500	2008	Moldova
63	ETH	20	4	1	2	84320987	4216049	2008	Ethiopia
64	CMR	4	1	0	0	19406100	4851525	2008	Cameroon
65	CHN	274	51	21	28	1347350000	4917335	2008	China
66	TUR	15	1	4	3	74724269	4981617	2008	Turkey
67	THA	12	2	2	0	65479453	5456621	2008	Thailand
68	TWN	4	0	0	4	23234003	5808500	2008	Taiwan
69	TGO	1	0	0	1	6191155	6191155	2008	Togo
70	BRA	28	3	4	8	192376496	6870589	2008	Brazil
71	ECU	2	0	1	0	14483499	7241749	2008	Ecuador
72	ISR	1	0	0	1	7859300	7859300	2008	Israel
73	CHL	2	0	1	0	17402630	8701315	2008	Chile
74	MAR	3	0	1	1	32526800	10842266	2008	Morocco
75	DZA	3	0	1	1	37100000	12366666	2008	Algeria
76	MEX	9	2	0	1	112336538	12481837	2008	Mexico
77	MYS	2	0	1	0	28334135	14167067	2008	Malaysia
78	IRN	5	1	0	1	76309000	15261800	2008	Iran
79	SDN	2	0	1	0	30894000	15447000	2008	Sudan
80	COL	3	0	1	1	46475000	15491666	2008	Colombia
81	AFG	1	0	0	1	24485600	24485600	2008	Afghanistan
82	ZAF	2	0	1	0	50586757	25293378	2008	South Africa
83	IDN	9	1	1	3	237641326	26404591	2008	Indonesia
84	VEN	1	0	0	1	27150095	27150095	2008	Venezuela
85	NGA	5	0	1	3	162471000	32494200	2008	Nigeria
86	VNM	2	0	1	0	87840000	43920000	2008	Vietnam
87	EGY	1	0	0	1	81927000	81927000	2008	Egypt
88	IND	6	1	0	2	1210193422	201698903	2008	India
1	BHM	5	1	0	1	311981	62396	2004	Bahamas
2	AUS	116	17	16	16	20091834	173205	2004	Australia
3	CUB	61	9	7	11	11231918	184129	2004	Cuba
4	JAM	13	2	2	1	2642000	203230	2004	Jamaica
5	HUN	47	8	6	3	10082193	214514	2004	Hungary
6	NOR	21	5	0	1	4586170	218389	2004	Norway
7	NZL	16	3	2	0	4058949	253684	2004	New Zealand
8	GRC	40	6	6	4	10820759	270518	2004	Greece
9	LVA	8	0	4	0	2312791	289098	2004	Latvia
10	EST	4	0	1	2	1348999	337249	2004	Estonia
11	BLR	27	2	6	7	9769363	361828	2004	Belarus
12	NLD	43	4	9	9	16299965	379068	2004	Netherlands
13	SVK	14	2	2	2	5396155	385439	2004	Slovakia
14	DNK	14	2	0	6	5402451	385889	2004	Denmark
15	GEO	12	2	2	0	4688957	390746	2004	Georgia
16	SVN	5	0	1	3	1997000	399400	2004	Slovenia
17	BGR	19	2	1	9	7828492	412025	2004	Bulgaria
18	SWE	21	4	2	1	8671959	412950	2004	Sweden
19	LTU	8	1	2	0	3465643	433205	2004	Lithuania
20	HRV	10	1	2	2	4475649	447564	2004	Croatia
21	ROU	48	8	5	6	22541275	469609	2004	Romania
22	AUT	17	2	4	1	8175566	480915	2004	Austria
23	PRK	69	9	12	9	48187106	698363	2004	South Korea
24	RUS	204	28	27	38	143840066	705098	2004	Russian Federation
25	CZE	14	1	3	4	10218595	729899	2004	Czech Republic
26	DEU	104	13	16	20	82470430	792984	2004	Germany
27	ITA	73	10	11	11	58136026	796383	2004	Italy
28	FRA	75	11	9	13	60197760	802636	2004	France
29	CHE	9	1	1	3	7406593	822954	2004	Switzerland
30	UKR	55	9	5	9	47538026	864327	2004	Ukraine
31	GBR	67	9	9	13	59834300	893049	2004	Great Britain
32	ARE	4	1	0	0	3599666	899916	2004	United Arab Emirates
33	KAZ	15	1	4	3	14956480	997098	2004	Kazakhstan
34	AZE	8	1	0	4	8105395	1013174	2004	Azerbaijan
35	ESP	39	3	11	5	41888143	1074054	2004	Spain
36	CAN	27	3	6	3	31666333	1172827	2004	Canada
37	USA	245	35	39	27	293694333	1198752	2004	United States
38	TTO	1	0	0	1	1301307	1301307	2004	Trinidad and Tobago
39	FIN	4	0	2	0	5228095	1307023	2004	Finland
40	JPN	94	16	9	12	127621332	1357673	2004	Japan
41	ISR	5	1	0	1	6861000	1372200	2004	Israel
42	BEL	6	1	0	2	10335500	1722583	2004	Belgium
43	TWN	13	2	2	1	22755225	1750401	2004	Taiwan
44	CHL	9	2	0	1	16023866	1780429	2004	Chile
45	POL	21	3	2	5	38330516	1825262	2004	Poland
46	ZWE	7	1	1	1	12804080	1829154	2004	Zimbabwe
47	SRB	4	0	2	0	8084813	2021203	2004	Serbia and Montenegro
48	PRT	5	0	2	1	10288313	2057662	2004	Portugal
49	UZB	12	2	1	2	25985078	2165423	2004	Uzbekistan
50	DOM	4	1	0	0	9324633	2331158	2004	Dominican Republic
51	KEN	14	1	4	2	33467330	2390523	2004	Kenya
52	KOR	9	0	4	1	22559912	2506656	2004	North Korea
53	MNG	1	0	0	1	2737118	2737118	2004	Mongolia
54	PRY	2	0	1	0	5922514	2961257	2004	Paraguay
55	MAR	10	2	1	0	30628813	3062881	2004	Morocco
56	ARG	12	2	0	4	37299220	3108268	2004	Argentina
57	TUR	22	3	3	4	70397806	3199900	2004	Turkey
58	HKG	2	0	1	0	6962569	3481284	2004	Hong Kong
59	THA	18	3	1	4	65660394	3647799	2004	Thailand
60	ZAF	12	1	3	2	46700000	3891666	2004	South Africa
61	CMR	4	1	0	0	16623500	4155875	2004	Cameroon
62	ETH	16	2	3	2	69960840	4372552	2004	Ethiopia
63	ERI	1	0	0	1	4375384	4375384	2004	Eritrea
64	IRN	14	2	2	2	67315140	4808224	2004	Iran
65	BRA	27	5	2	3	180654250	6690898	2004	Brazil
66	CHN	176	32	17	14	1297944000	7374681	2004	China
67	EGY	9	1	1	3	74959020	8328780	2004	Egypt
68	VEN	2	0	0	2	26127000	13063500	2004	Venezuela
69	MEX	7	0	3	1	103019731	14717104	2004	Mexico
70	SYR	1	0	0	1	18393723	18393723	2004	Syria
71	COL	2	0	0	2	43648485	21824242	2004	Colombia
72	IDN	8	1	1	2	224542666	28067833	2004	Indonesia
73	NGA	2	0	0	2	137502444	68751222	2004	Nigeria
74	IND	2	0	1	0	1079721000	539860500	2004	India
1	BHM	8	2	0	0	299286	37410	2000	Bahamas
2	AUS	131	16	25	17	19158366	146247	2000	Australia
3	CUB	73	11	11	7	11142000	152630	2000	Cuba
4	NOR	25	4	3	3	4483554	179342	2000	Norway
5	JAM	14	0	5	4	2610455	186461	2000	Jamaica
6	HUN	47	8	6	3	10186926	216743	2000	Hungary
7	NLD	70	12	9	4	15908833	227269	2000	Netherlands
8	EST	6	1	0	2	1371923	228653	2000	Estonia
9	BGR	34	5	6	2	7842124	230650	2000	Bulgaria
10	SVN	8	2	0	0	1976370	247046	2000	Slovenia
11	BRB	1	0	0	1	268906	268906	2000	Barbados
12	ISL	1	0	0	1	281014	281014	2000	Iceland
13	SWE	29	4	5	3	8870350	305874	2000	Sweden
14	LTU	11	2	0	3	3599014	327183	2000	Lithuania
15	LVA	7	1	1	1	2372000	338857	2000	Latvia
16	ROU	65	11	6	9	22178364	341205	2000	Romania
17	GRC	31	4	6	3	10759513	347081	2000	Greece
18	BLR	29	3	3	11	10125573	349157	2000	Belarus
19	DNK	15	2	3	1	5337344	355822	2000	Denmark
20	TTO	3	0	1	1	1155272	385090	2000	Trinidad and Tobago
21	CHE	18	1	6	2	7190774	399487	2000	Switzerland
22	FIN	11	2	1	1	5176198	470563	2000	Finland
23	SVK	11	1	3	1	5403318	491210	2000	Slovakia
24	NZL	7	1	0	3	3845120	549302	2000	New Zealand
25	CZE	17	2	3	3	10272933	604290	2000	Czech Republic
26	QAT	1	0	0	1	606339	606339	2000	Qatar
27	FRA	91	13	14	11	59040243	648793	2000	France
28	RUS	213	32	28	29	146731333	688879	2000	Russian Federation
29	ITA	81	13	8	13	57188114	706026	2000	Italy
30	DEU	112	13	17	26	82070000	732767	2000	Germany
31	PRK	62	8	10	10	46481423	749700	2000	South Korea
32	GEO	6	0	0	6	4720061	786676	2000	Georgia
33	KAZ	20	3	4	0	15808408	790420	2000	Kazakhstan
34	AUT	10	2	1	0	8011561	801156	2000	Austria
35	GBR	71	11	10	7	59627220	839820	2000	Great Britain
36	HRV	5	1	0	1	4429072	885814	2000	Croatia
37	AZE	9	2	0	1	8054445	894938	2000	Azerbaijan
38	POL	37	6	5	3	38648000	1044540	2000	Poland
39	UKR	42	3	10	10	49168243	1170672	2000	Ukraine
40	CAN	26	3	3	8	30826566	1185637	2000	Canada
41	USA	229	37	24	33	282224000	1232419	2000	United States
42	MDA	3	0	1	1	4240509	1413503	2000	Moldova
43	BEL	7	0	2	3	10248168	1464024	2000	Belgium
44	MKD	7	1	1	1	10348473	1478353	2000	Yugoslavia
45	URY	2	0	1	0	3227565	1613782	2000	Uruguay
46	ESP	23	3	3	5	39892123	1734440	2000	Spain
47	CRI	2	0	0	2	3544143	1772071	2000	Costa Rica
48	IRL	2	0	1	0	3801328	1900664	2000	Ireland
49	KEN	16	2	3	2	30456290	1903518	2000	Kenya
50	MKD	1	0	0	1	2015971	2015971	2000	Macedonia
51	KWT	1	0	0	1	2190000	2190000	2000	Kuwait
52	ETH	21	4	1	3	64183968	3056379	2000	Ethiopia
53	UZB	8	1	1	2	24650000	3081250	2000	Uzbekistan
54	JPN	41	5	8	5	126879614	3094624	2000	Japan
55	ARM	1	0	0	1	3169445	3169445	2000	Armenia
56	DZA	9	1	1	3	30950322	3438924	2000	Algeria
57	TWN	6	0	1	4	22350362	3725060	2000	Taiwan
58	CMR	4	1	0	0	15139138	3784784	2000	Cameroon
59	KOR	5	0	1	3	21939233	4387846	2000	North Korea
60	MOZ	4	1	0	0	18308580	4577145	2000	Mozambique
61	TUR	14	3	0	2	66251119	4732222	2000	Turkey
62	KGZ	1	0	0	1	4915300	4915300	2000	Kyrgyzstan
63	MAR	6	0	1	4	29651790	4941965	2000	Morocco
64	IRN	13	3	0	1	64315880	4947375	2000	Iran
65	PRT	2	0	0	2	10225800	5112900	2000	Portugal
66	ARG	6	0	2	2	36858473	6143078	2000	Argentina
67	ZAF	7	0	2	3	44333333	6333333	2000	South Africa
68	ISR	1	0	0	1	6338133	6338133	2000	Israel
69	SAU	3	0	1	1	21569237	7189745	2000	Saudi Arabia
70	CHN	158	28	16	14	1262374160	7989709	2000	China
71	MEX	11	1	2	3	99555200	9050472	2000	Mexico
72	LKA	2	0	1	0	19278725	9639362	2000	Sri Lanka
73	BRA	18	0	6	6	173857700	9658761	2000	Brazil
74	THA	6	1	0	2	62369873	10394978	2000	Thailand
75	COL	4	1	0	0	43193863	10798465	2000	Colombia
76	CHL	1	0	0	1	15411830	15411830	2000	Chile
77	IDN	12	1	3	2	212438070	17703172	2000	Indonesia
78	NGA	6	0	3	0	124772600	20795433	2000	Nigeria
79	VNM	2	0	1	0	77635400	38817700	2000	Vietnam
80	IND	1	0	0	1	1015923000	1015923000	2000	India
1	TON	2	0	1	0	98702	49351	1996	Tonga
2	BHM	2	0	1	0	275711	137855	1996	Bahamas
3	CUB	60	9	8	8	11074069	184567	1996	Cuba
4	JAM	12	1	3	2	2523738	210311	1996	Jamaica
5	NZL	17	3	2	1	3732000	219529	1996	New Zealand
6	HUN	46	7	4	10	10311160	224155	1996	Hungary
7	AUS	77	9	9	23	18311071	237806	1996	Australia
8	BGR	31	3	7	5	8356000	269548	1996	Bulgaria
9	DNK	19	4	1	1	5299197	278905	1996	Denmark
10	IRL	13	3	0	1	3633733	279517	1996	Ireland
11	NOR	15	2	2	3	4350333	290022	1996	Norway
12	CHE	22	4	3	0	7077661	321711	1996	Switzerland
13	CZE	26	4	3	4	10317040	396809	1996	Czech Republic
14	BLR	24	1	6	8	10160000	423333	1996	Belarus
15	NAM	4	0	2	0	1703213	425803	1996	Namibia
16	NLD	36	4	5	10	15520666	431129	1996	Netherlands
17	GRC	24	4	4	0	10678255	444927	1996	Greece
18	SWE	18	2	4	2	8835919	490884	1996	Sweden
19	SVN	4	0	2	0	1980233	495058	1996	Slovenia
20	ARM	6	1	1	0	3393012	565502	1996	Armenia
21	FIN	9	1	2	1	5112500	568055	1996	Finland
22	ROU	39	4	7	9	22290920	571562	1996	Romania
23	DEU	143	20	18	27	81912000	572811	1996	Germany
24	TTO	2	0	0	2	1220707	610353	1996	Trinidad and Tobago
25	KAZ	24	3	4	4	15577926	649080	1996	Kazakhstan
26	FRA	89	15	7	15	58142333	653284	1996	France
27	ITA	84	13	10	12	56834543	676601	1996	Italy
28	CAN	42	3	11	8	28984402	690104	1996	Canada
29	PRK	63	7	15	5	45333333	719576	1996	South Korea
30	BEL	14	2	2	2	10154000	725285	1996	Belgium
31	HRV	6	1	1	0	4420738	736789	1996	Croatia
32	SVK	7	1	1	1	5303376	757625	1996	Slovakia
33	CRI	4	1	0	0	3441399	860349	1996	Costa Rica
34	POL	43	7	5	5	38618000	898093	1996	Poland
35	RUS	162	26	21	16	147879333	912835	1996	Russian Federation
36	UKR	52	9	2	12	51057190	981869	1996	Ukraine
37	USA	265	44	32	25	267992598	1011292	1996	United States
38	ESP	38	5	6	6	39405383	1036983	1996	Spain
39	LVA	2	0	1	0	2479666	1239833	1996	Latvia
40	MKD	8	1	1	2	10617519	1327189	1996	Yugoslavia
41	MDA	3	0	1	1	4394664	1464888	1996	Moldova
42	HKG	4	1	0	0	6363000	1590750	1996	Hong Kong
43	KOR	12	2	1	2	21134070	1761172	1996	North Korea
44	KEN	15	1	4	3	28086135	1872409	1996	Kenya
45	AUT	4	0	1	2	7964966	1991241	1996	Austria
46	PRT	5	1	0	1	10052866	2010573	1996	Portugal
47	BDI	4	1	0	0	8135452	2033863	1996	Burundi
48	GBR	26	1	8	6	58267620	2241062	1996	Great Britain
49	GEO	2	0	0	2	4741897	2370948	1996	Georgia
50	MNG	1	0	0	1	2374906	2374906	1996	Mongolia
51	ZAF	15	3	1	1	41698653	2779910	1996	South Africa
52	DZA	9	2	0	1	28863705	3207078	1996	Algeria
53	TUR	19	4	1	1	63050508	3318447	1996	Turkey
54	ECU	4	1	0	0	13299776	3324944	1996	Ecuador
